word,chinese_meaning,phonetic,part_of_speech,english_meaning
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动\nvi. 刺入, 穿入, 透入, 进入",piәs,,n. 14th President of the United States (1804-1869)\nv. cut or make a way through\nv. move or affect (a person's emotions or bodily feelings) deeply or sharply\nv. sound sharply or shrilly
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人\nv. 生小猪, 象猪般地生活",pig,,"n. a crude block of metal (lead or iron) poured from a smelting furnace\nv. live like a pig, in squalor"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子",'pidʒin,,n. wild and domesticated birds having a heavy body and short legs
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮\nvi. 堆起, 堆积, 积累, 挤, 猛烈攻击\nvt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑",pail,,n. a collection of objects laid on top of each other\nn. a large sum of money (especially as pay or profit)\nn. a column of wood or steel or concrete that is driven into the ground to provide support for a structure\nn. the yarn (as in a rug or velvet or corduroy) that stands up from the weave
pilgrim,"n. 旅行者, 朝圣者, 香客\nvi. 朝圣",'pilgrim,,n. someone who journeys in foreign lands\nn. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620\nn. someone who journeys to a sacred place as an act of religious devotion
pill,"n. 药丸, 弹丸, 屈辱, 胡说\nv. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫",pil,,n. something that resembles a tablet of medicine in shape or size\nn. a dose of medicine in the form of a small pellet\nn. a unpleasant or tiresome person\nn. something unpleasant or offensive that must be tolerated or endured
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者\n[医] 柱, 脚",'pilә,,n. a fundamental principle or practice\nn. a prominent supporter
pillow,"n. 枕头, 靠垫, 枕状岩\nvt. 作...的枕头, 垫, 枕于\nvi. 靠在枕上",'pilәu,,n. a cushion to support the head of a sleeping person\nv. rest on or as if on a pillow
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人\nvt. 领航, 驾驶, 引导, 试用\na. 引导的, 控制的, 试点的\n[计] 引导",'pailәt,,n. someone who is licensed to operate an aircraft in flight\nn. a person qualified to guide ships through difficult waters going into or out of a harbor
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)\nvt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于\na. 针的, 销子的, 闩的",pin,,n. a piece of jewelry that is pinned onto the wearer's garment\nn. informal terms for the leg\nn. cylindrical tumblers consisting of two parts that are held in place by springs; when they are aligned with a key the bolt can be thrown\nn. flagpole used to mark the position of the hole on a golf green
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头\nvt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索\nvi. 收缩, 节省, 挤压, 引起苦恼",pintʃ,,n. a painful or straitened circumstance\nn. an injury resulting from getting some body part squeezed\nn. a squeeze with the fingers\nv. squeeze tightly between the fingers
pine,"n. 松树, 松木\nvi. 消瘦, 憔悴, 痛苦, 怀念, 渴望\n[计] 邮件程序",pain,,n. a coniferous tree\nn. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度\na. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的\nvt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色\nvi. 变粉红色",piŋk,,"n. a light shade of red\nn. any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers\nv. sound like a car engine that is firing too early\nv. cut in a zigzag pattern with pinking shears, in sewing"
pint,"n. 品脱(干量或液量的单位)\n[医] 量磅, 品脱",paint,,n. a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters\nn. a United States dry unit equal to 0.5 quart or 33.6 cubic inches\nn. a United States liquid unit equal to 16 fluid ounces; two pints equal one quart
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器\nvt. 以管输送, 吹哨子, 吹奏, 尖声唱\nvi. 吹笛, 尖叫, 吹长哨发令\n[计] 管道",paip,,n. a tube with a small bowl at one end; used for smoking tobacco\nn. a long tube made of metal or plastic that is used to carry water or oil or gas etc.\nn. a hollow cylindrical shape\nn. a tubular wind instrument
pirate,"n. 海盗, 盗印者, 侵犯专利权者\nvt. 盗印, 掠夺, 翻印\nvi. 做海盗, 从事劫掠",'paiәrәt,,n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation\nn. a ship that is manned by pirates\nv. copy illegally; of published material
pistol,"n. 手枪, 信号枪\nvt. 以手枪杀死(或伤害)",'pistl,,n. a firearm that is held and fired with one hand
piston,"n. 活塞, 活塞阀键\n[医] 活塞(如注射器的)",'pistәn,,n. United States neoclassical composer (1894-1976)\nn. mechanical device that has a plunging or thrusting motion
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱\nvt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争\nvi. 起凹点, 凹陷",pit,,n. a sizeable hole (usually in the ground)\nn. a concavity in a surface (especially an anatomical depression)\nn. an enclosure in which animals are made to fight\nn. (commodity exchange) the part of the floor of a commodity exchange where trading in a particular commodity is carried on
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青\nvt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂\nvi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜\n[计] 孔距",pitʃ,,n. the property of sound that varies with variation in the frequency of vibration\nn. (baseball) the act of throwing a baseball by a pitcher to a batter\nn. a vendor's position (especially on the sidewalk)\nn. degree of deviation from a horizontal plane
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸\nvt. 折磨, 使苦恼, 使得灾祸",pleig,,n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal\nn. any epidemic disease with a high death rate\nn. any large scale calamity (especially when thought to be sent by God)\nn. an annoyance
plain,"n. 平原, 草原, 朴实无华的东西, 无格式\na. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的\nadv. 清楚地, 显然地\n[计] 无格式",plein,,n. extensive tract of level open land\na. not elaborate or elaborated; simple\na. lacking patterns especially in color\ns. not mixed with extraneous elements
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事",'plænit,,"n. (astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction\nn. any celestial body (other than comets or satellites) that revolves around a star"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地\n[医] 栽植(如牙或其他组织的植入、再植和移植)",plæn'teiʃәn,,n. an estate where cash crops are grown on a large scale (especially in tropical areas)\nn. a newly established colony (especially in the colonization of North America)
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药\nvt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴",'plæstә,,n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings\nn. a surface of hardened plaster (as on a wall or ceiling)\nn. adhesive tape used in dressing wounds\nv. apply a heavy coat to
plastic,"n. 塑料, 可塑体, 可塑性物质\na. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的",'plæstik,,n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives\ns. capable of being influenced or formed
plateau,"n. 高地, 高原, (上升后的)稳定水平\n[医] 高原, 平顶, 坪",plæ'tәu,,n a relatively flat highland
platform,"n. 站台, 月台, 讲台, 论坛, 平台\n[计] 平台",'plætfɒ:m,,n. a raised horizontal surface\nn. a document stating the aims and principles of a political party\nn. the combination of a particular computer and a particular operating system\nn. any military structure or vehicle bearing weapons
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的\n[法] 花言巧语的, 似乎有理的",'plɒ:zibl,,"a. apparently reasonable and valid, and truthful\ns. given to or characterized by presenting specious arguments"
playground,"n. 运动场, 操场, 度假胜地, 活动场所",'pleigraund,,n. yard consisting of an outdoor area for children's play
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词\n[法] 抗辩, 申诉案件, 答辩",pli:,,n. (law) a defendant's answer by a factual matter (as distinguished from a demurrer)\nn. an answer indicating why a suit should be dismissed
plead,"vi. 辩护, 恳求\nvt. 为...辩护, 提出...借口, 托称, 恳求",pli:d,,"v. appeal or request earnestly\nv. offer as an excuse or plea\nv. enter a plea, as in courts of law\nv. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的",'pleznt,,a. affording pleasure; being in harmony with your taste or likings\ns. (of persons) having pleasing manners or behavior
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿\nvt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康",pledʒ,,n. a deposit of personal property as security for a debt\nn. someone accepted for membership but not yet fully admitted to the group\nn. a drink in honor of or to the health of a person or event\nv. promise solemnly and formally
plentiful,"a. 许多的, 丰富的, 丰饶的",'plentiful,,s. existing in great number or quantity
plenty,"n. 充分, 很多, 丰富\na. 很多的, 足够的, 丰富的",'plenti,,n. a full supply
plight,"n. 困境, 窘境\nvt. 宣誓, 保证",plait,,n. a solemn pledge of fidelity
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节\nvt. 划分, 绘图, 密谋\nvi. 密谋, 策划\n[计] 绘制",plɒt,,n. a secret scheme to do something (especially something underhand or illegal)\nn. a small area of ground covered by specific vegetation\nn. the story that is told in a novel or play or movie etc.\nn. a chart or map showing the movements or progress of an object
plough,"n. 犁, 犁过的地\nvi. 用犁耕田, 开路\nvt. 耕, 犁, 开路",plau,,n a group of seven bright stars in the constellation Ursa Major\nn a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing\nv move in a way resembling that of a plow cutting into or going through the soil\nv to break and turn over earth especially with a plow
plug,"n. 塞子, 栓, 插头\nvt. 插入, 塞住, 接插头\nvi. 被塞住",plʌg,,n. blockage consisting of an object designed to fill a hole tightly\nn. an electrical device with two or three pins that is inserted in a socket to make an electrical connection\nv. fill or close tightly with or as if with a plug\nv. persist in working hard
plumber,n. 水管工人\n[法] 堵漏防漏人员,'plʌmә,,n. a craftsman who installs and repairs pipes and fixtures and appliances
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资\nvi. 投入, 投身于, 跳进, 陷入, 下降\nvt. 使投入, 使插入, 使陷入, 使遭受",plʌndʒ,,n. a steep and rapid fall\nv. dash violently or with great speed or impetuosity\nv. begin with vigor\nv. cause to be immersed
plural,"n. 复数\na. 复数的, 两个以上的",'pluәrәl,,"n. the form of a word that is used to denote more than one\na. composed of more than one member, set, or kind\na. grammatical number category referring to two or more items or units"
plus,"prep. 加上, 加, 外加\na. 正的, 附加的\nn. 正号, 加号, 附加额, 正数, 增益\n[计] 正差",plʌs,,a. on the positive side or higher end of a scale\ns. involving advantage or good
pneumonia,n. 肺炎\n[医] 肺炎,nju:'mәunjә,,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
